NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,SUMME,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
KH56   ,52.77,0.8,16.63,,,0.06,1.14,19.06,0.49,2.37,0.42,,4.34,,,,,544,87,16,,,49,,77,276,,,,66,159
KH57   ,68.6,0.86,18.75,,,0.02,1.12,1.18,1.23,3.32,0.24,,4.25,,,,,746,110,19,,,45,,113,102,,,,88,223
KH58   ,70.66,0.7,15.79,,,0.02,2.03,2.55,0.8,2.28,0.1,,4.28,,,,,640,124,31,,,89,,104,159,,,,85,139
KH59   ,72.21,0.65,14.35,,,0.08,2.1,2.17,0.88,2.26,0.13,,4.39,,,,,572,125,27,,,87,,106,161,,,,79,156
KH60   ,72.18,0.51,15.2,,,0.05,1.48,1.16,1.61,3.78,0.08,,3.96,,,,,557,85,22,,,61,,133,91,,,,67,158
KH61   ,69.9,0.65,16.1,,,0.09,2,1.22,0.6,3.05,0.17,,5.11,,,,,459,117,34,,,61,,159,88,,,,104,150
KH62   ,68.18,0.74,17.4,,,0.04,2.91,1.21,0.39,2.6,0.09,,5.6,,,,,427,177,16,,,87,,65,25,,,,67,82
KH63   ,76.8,0.63,13.94,,,0.01,1.42,1.38,1.01,2.04,0.26,,2.44,,,,,571,109,24,,,71,,97,111,,,,86,157
KH64   ,67.59,0.75,16.96,,,0.07,2.26,2,0.71,2.87,0.19,,6.11,,,,,705,126,33,,,84,,121,150,,,,100,144
KH65   ,68.61,0.7,17.31,,,0.06,1.93,1.72,0.52,3.14,0.3,,5.32,,,,,639,124,32,,,94,,147,153,,,,106,129
KH66   ,73.21,0.75,15.08,,,0.05,1.82,0.87,0.76,2.43,0.17,,4.65,,,,,570,118,28,,,77,,114,72,,,,78,196
KH67   ,65.87,0.84,18.78,,,0.06,2.35,1.58,0.63,3.55,0.66,,6.28,,,,,552,159,45,,,69,,171,109,,,,121,186
KH68   ,45.77,0.72,15.05,,,0.07,1.66,26.23,0.48,3.2,0.54,,4.17,,,,,417,78,17,,,42,,70,295,,,,88,139
KH69   ,57.11,0.8,17.82,,,0.06,1.23,14.49,0.85,2.67,0.59,,4.21,,,,,603,100,18,,,43,,90,261,,,,88,178
KH70   ,58.45,0.87,18.74,,,0.05,1.36,9.52,0.72,2.17,0.72,,5.12,,,,,779,125,26,,,53,,78,258,,,,100,202
KH71   ,50.15,0.75,16.31,,,0.06,1.17,22.75,0.66,2.44,0.43,,3.71,,,,,527,89,17,,,45,,76,294,,,,77,149
KH72   ,60.86,0.85,20.05,,,0.09,2.15,4.84,0.69,3.38,0.31,,6.53,,,,,493,134,23,,,64,,153,190,,,,102,155
KH73   ,73.69,0.72,16.23,,,0.01,1.25,1.22,1.43,2.17,0.19,,2.83,,,,,607,144,28,,,59,,91,117,,,,82,159
KH74   ,79.01,0.5,12.54,,,0.02,1.18,1.47,0.67,2.41,0.12,,2.58,,,,,512,128,33,,,51,,85,113,,,,55,143
KH75   ,75.33,0.54,13.98,,,0.05,1.73,1.16,0.49,2.67,0.3,,3.7,,,,,651,146,42,,,78,,103,91,,,,75,116
KH76   ,78.73,0.49,11.53,,,0.03,1.29,1.63,0.72,1.95,0.17,,2.79,,,,,529,118,27,,,52,,80,86,,,,58,128
KH77   ,76.79,0.54,13.49,,,0.02,1.46,0.89,0.93,2.45,0.09,,2.83,,,,,443,139,38,,,62,,97,61,,,,68,143
KH78   ,76.68,0.51,13.5,,,0.02,1.32,0.78,1.18,2.61,0.1,,2.95,,,,,485,131,52,,,54,,94,64,,,,64,133
KH79   ,70.7,0.73,16.09,,,0.04,2.05,1.61,0.54,2.46,0.11,,4.97,,,,,548,166,39,,,89,,111,106,,,,85,151
KH80   ,62.25,0.58,16.6,,,0.03,4.49,7.2,1.28,3.08,0.13,,3.52,,,,,465,135,33,,,79,,125,136,,,,83,112
KH81   ,68.19,0.54,15.73,,,0.02,3.39,2.96,1.29,3.25,0.15,,3.56,,,,,440,149,50,,,80,,136,71,,,,87,106
KH82   ,68.01,0.65,18.42,,,0.05,2.13,1.3,0.94,3.27,0.14,,5.08,,,,,664,160,40,,,80,,129,135,,,,95,127
KH83   ,71.65,0.57,14.36,,,0.04,1.8,3.15,1.75,2.85,0.15,,3.26,,,,,427,124,35,,,57,,124,108,,,,62,175
KH84   ,74.91,0.58,13.54,,,0.04,1.66,2.1,0.64,1.84,0.08,,3.66,,,,,488,138,35,,,68,,83,77,,,,71,125
KH85   ,69.3,0.52,14.89,,,0.03,2.62,4.53,1.1,2.9,0.28,,3.01,,,,,497,134,50,,,72,,127,117,,,,82,109
