An.Nr.,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM,Ba,Cr,Cu,Nb,Ni,Pb,Rb,Sr,V,Y,Zn,Zr,FeO,L O I
JB162,68.49,0.82,18.74,4.81,0.03,1.82,2.44,0.49,2.30,0.13,100.23,603,128,44,16,71,26,138,146,131,20,106,138,0.00,7.64
JB163,65.63,0.83,18.90,5.35,0.05,2.43,3.91,0.85,2.26,0.16,100.54,611,118,69,15,71,26,136,195,146,21,110,141,0.00,5.65
JB164,68.99,0.83,18.80,4.85,0.04,1.80,1.83,0.56,2.58,0.13,100.58,687,138,41,16,76,27,152,180,125,19,113,153,0.00,7.41
JB165,68.24,0.78,18.24,5.67,0.07,1.88,1.71,0.60,2.87,0.20,100.42,551,139,40,15,72,23,155,162,140,28,111,148,0.00,5.55
JB166,67.50,0.82,18.99,5.01,0.05,2.09,2.39,0.47,2.63,0.18,100.30,698,135,40,18,75,25,148,153,144,21,112,131,0.00,7.37
JB167,67.30,0.70,18.15,4.81,0.06,1.68,2.80,1.81,2.97,0.16,100.60,682,100,30,16,50,21,151,209,110,24,96,149,0.00,6.85
JB169,65.58,0.80,18.71,5.47,0.05,1.83,4.17,0.31,2.81,0.46,100.39,828,143,41,16,81,27,160,242,149,28,121,136,0.00,5.10
JB171,71.38,0.64,17.69,3.51,0.03,1.31,1.21,1.20,2.92,0.23,100.26,560,108,26,14,56,23,219,116,96,19,93,113,0.00,4.90
JB173,69.72,0.70,17.74,4.61,0.05,1.54,1.53,1.05,2.92,0.23,100.26,676,118,32,14,63,28,172,152,122,27,169,136,0.00,6.15
JB174,67.03,0.83,18.93,5.21,0.04,1.78,3.45,0.45,2.23,0.19,100.31,632,129,42,18,81,25,142,188,127,21,119,155,0.00,7.26
JB177,67.28,0.82,19.31,4.98,0.05,1.94,2.32,0.66,2.76,0.19,100.50,791,129,39,17,71,24,156,193,142,23,178,158,0.00,11.42
JB178,66.72,0.78,19.10,4.47,0.04,1.61,3.54,1.04,2.50,0.16,100.13,728,120,38,16,67,27,147,220,117,22,100,143,0.00,6.37
JB179,66.13,0.79,18.67,5.51,0.05,1.86,3.51,0.68,2.53,0.36,100.29,868,133,38,15,78,25,159,250,136,26,110,144,0.00,4.26
JB180,66.77,0.74,18.89,4.46,0.04,1.60,4.24,0.48,2.46,0.31,100.17,734,137,38,14,71,23,154,197,130,26,114,125,0.00,6.77
JB181,69.62,0.69,17.69,4.74,0.05,1.51,1.60,1.08,2.87,0.23,100.24,661,113,31,16,63,26,169,154,114,27,96,129,0.00,5.96
JB182,63.75,0.75,18.48,4.57,0.04,2.04,7.66,0.24,2.19,0.15,100.04,552,131,45,16,76,24,154,248,125,20,139,134,0.00,10.40
JB183,68.63,0.82,18.48,4.50,0.04,1.93,1.84,1.09,2.58,0.12,100.19,639,122,38,15,82,26,159,138,109,20,111,162,0.00,6.10
JB185,68.53,0.80,18.98,4.31,0.05,1.68,2.10,0.56,2.61,0.35,100.15,805,132,36,17,71,24,163,178,137,27,113,136,0.00,6.25
JB187,68.14,0.77,19.32,4.10,0.04,1.14,2.62,0.80,2.77,0.22,100.08,609,126,42,15,69,27,149,168,128,24,107,137,0.00,6.87
JB189,69.00,0.84,19.17,4.00,0.03,1.29,1.81,0.58,2.69,0.24,99.83,650,138,42,16,74,27,152,134,132,29,197,162,0.00,8.96
JB190,66.80,0.69,15.70,3.86,0.07,1.32,7.54,0.93,2.73,0.30,100.10,650,96,27,14,61,28,153,240,89,26,93,157,0.00,7.74
