NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
AB 123 ,66.1,0.48,18.4,,,0.04,1.83,1.27,2.2,4.51,0.14,4.7,,,,,786,95,41,17,11,47,1,187,89,15,135,18,67,95
AB 124 ,68.8,0.57,16.8,,,0.03,1.74,1.42,2.14,4.49,0.19,3.57,,,,,684,85,22,16,13,36,1,197,100,25,100,28,78,158
AB 126 ,66.4,0.68,18.1,,,0.04,1.95,0.83,1.83,3.83,0.18,5.91,,,,,854,119,26,17,18,62,1,167,76,12,159,21,97,147
AB 127 ,66.9,0.59,17.3,,,0.07,2.28,1.07,2.14,4.4,0.18,4.91,,,,,826,112,37,16,15,60,11,177,131,19,134,25,84,118
AB 129 ,67�.129,0.52,15.5,,,0.07,1.92,4.77,2.51,3.85,0.26,3.84,,,,,570,83,19,12,18,31,1,166,182,18,92,28,52,139
AB 130 ,65.9,0.75,17.4,,,0.07,2.8,1.43,0.73,3.43,0.26,7.14,,,,,1020,155,16,14,13,69,5,132,97,9,182,24,101,133
AB 131 ,67.6,0.49,15.�9,,,0.05,1.18,4.88,2.2,3.76,0.39,4.4,,,,,726,89,17,11,16,41,3,166,163,16,101,25,52,139
AB 132 ,65.1,0.65,17.1,,,0.03,0.86,4.94,1.56,3.48,0.37,5.51,,,,,1090.2,79,7,12,15,54,3,168,135,12,158,29,78,149
AB 135 ,66.1,0.74,17.2,,,0.08,2.76,1.37,0.71,3.34,0.2,7.25,,,,,870,151,14,15,13,72,1,150,101,11,178,26,104,135
AB 136 ,68.5,0.61,16.7,,,0.05,1.94,1.44,1.72,3.95,0.34,4.3,,,,,996,89,21,14,17,52,1,175,108,22,128,29,83,131
AB 137 ,70.�137,0.61,16.4,,,0.05,0.7,1.89,2.22,3.48,0.55,4.34,,,,,1290.7,77,13,13,19,40,4,135,138,17,125,32,60,186
AB 138 ,68.8,0.59,16.6,,,0.06,1.86,1.53,1.97,3.73,0.21,4.8,,,,,512,102,23,15,16,63,10,191,89,17,119,38,84,120
AB 139 ,67.7,0.5,16.3,,,0.05,1.67,1.72,2.44,4.24,0.16,4.79,,,,,639,82,31,16,15,53,8,188,78,26,120,32,72,119
AB 140 ,66.7,0.68,16.7,,,0.07,2.57,2.56,0.82,3.28,0.27,6.54,,,,,727,134,15,15,13,60,1,156,117,12,167,25,98,116
AB 144 ,70.6,0.47,15.9,,,0.06,1.46,1.02,2.39,4.32,0.12,3.67,,,,,762,68,36,12,11,43,5,153,80,9,94,23,61,96
AB 145 ,68.�145,0.6,17.3,,,0.06,1.91,0.94,1.99,4.43,0.17,4.56,,,,,732,83,26,17,17,55,1,202,77,23,121,30,86,141
AB 147 ,67.9,0.57,17.6,,,0.04,1.5,1.14,2.31,4.75,0.26,3.9,,,,,818,67,24,16,15,39,1,207,102,10,106,18,84,142
AB 148 ,65.3,0.48,18.5,,,0.05,1.89,2.56,2.37,4.97,0.19,3.67,,,,,809,79,16,15,11,41,1,178,106,10,109,18,59,90
AB 149 ,68.2,0.6,16.4,,,0.06,1.79,1.53,2.38,3.64,0.21,5.47,,,,,736,74,29,15,14,46,3,155,100,21,127,27,74,144
AB 150 ,65.7,0.57,18.1,,,0.05,1.92,1.44,2.26,4.49,0.19,5.49,,,,,784,93,36,17,13,56,3,185,87,12,149,22,89,120
