nekropole_ID,fundort,region,regionen_Hille2012,graeber_gesamt,ordnung,grabungsjahr,bemerkungen
99,Wetzendorf (735),Burgenlandkreis,Saale,1,Einzelgrab,1995,auf SK und AK Nekropole
100,Wolferstedt (749-750),Lkr. Mansfeld-Suedharz,Mansfeld,2,Grabgruppen,1989,
101,Koelsa (1106-1112),Lkr. Nordsachsen,Saale,7,Grabgruppen,2001,weiter Urgesch. Grabgruppe in unmittelbarer Naehe
102,Loebnitz-Bennewitz (1120-1122),Lkr. Leipzig,Saale,3,Grabgruppen,1998,Grab (1120) wahrscheinlich nicht GB und wenig Infos
103,Meyhen (1124),Lkr. Leipzig,Saale,1,Einzelgrab,vor 2000,Grab in urgsch. Siedlung
104,Eitzum (1154-1155),Lkr. Wolfenbuettel,Nordharz,2,Grabgruppen,1957,weitere Graeber in der Naehe
105,Goettingen (1159),Lkr. Goettingen,Suedharz,1,Einzelgrab,1978,
106,Wedding (1178),Lkr. Goslar,Nordharz,1,Einzelgrab,1939,
107,Wedding (1179),Lkr. Goslar,Nordharz,1,Einzelgrab,von 1940,
108,Arnstadt (780),Ilm-Kreis,Thueringen,1,Einzelgrab,1939,
109,Buttelstedt (796),Lkr. Weimarer Land,Thueringen,1,Einzelgrab,1924,
110,Erfurt-Gispersleben (809),Stadt Erfurt,Thueringen,1,Einzelgrab,1977,
111,Erfurt (810-812),Stadt Erfurt,Thueringen,3,Grabgruppen,1961,
112,Erfurt (813),Stadt Erfurt,Thueringen,1,Einzelgrab,1935,
113,Erfurt (815),Stadt Erfurt,Thueringen,1,Einzelgrab,1977,
114,Esperstedt (821),Kyffhaeuser Kreis,Suedharz,1,Einzelgrab,1956,
115,Esperstedt (822),Kyffhaeuser Kreis,Suedharz,1,Einzelgrab,1961,
116,Goldbach (828),Lkr. Weimarer Land,Thueringen,1,Einzelgrab,1913,
117,Großobringen (850),Lkr. Weimarer Land,Thueringen,1,Einzelgrab,1959,
118,Hohlstedt (869),Lkr. Weimarer Land,Thueringen,1,Einzelgrab,1938,SK Grab in unmittelbarer Naehe
119,Koerner (880),Unstrut-Hainich-Kreis,Thueringen,1,Grabgruppen,1985,mehrperiodischer Fundplatz
120,Kutzleben (893-895),Unstrut-Hainich-Kreis,Thueringen,3,Grabgruppen,1926,SK Graeber in unmittelbarer Naehe
121,Muehlhausen (907),Unstrut-Hainich-Kreis,Thueringen,1,Einzelgrab,1962,AK Graeberfeld in unmittelbarer Naehe
122,Muehlhausen (914),Unstrut-Hainich-Kreis,Thueringen,1,Einzelgrab,1971,
123,Nohra (933-940),Lkr. Nordhausen,Suedharz,8,Grabgruppen,1930-1931,AK und SK Graeber in unmittelbarer Naehe
124,Rohrborn (955-957),Lkr. Soemmerda,Suedharz,3,Grabgruppen,1971,
125,Seebergen (986),Lkr. Gotha,Thueringen,1,Einzelgrab,1954,
126,Voigtstedt (1015),Kyffhaeuser Kreis,Suedharz,2,Grabgruppen,1954-1961,SK Graeber in unmittelbarer Naehe; Grab 15 (GB) unbrauchbar
127,Weimar - X (1053),Stadt Weimar,Thueringen,1,Einzelgrab,1910,
128,Weimar - XVIII (1055),Stadt Weimar,Thueringen,1,Einzelgrab,1976,
129,Wohlsborn (1062-1064),Lkr. Weimarer Land,Thueringen,3,Grabgruppen,1930-1931,SK Graeber in unmittelbarer Naehe
130,Wundersleben (1065-1065),Lkr. Soemmerda,Suedharz,2,Grabgruppen,1966,AK Graeber in unmittelbarer Naehe
131,Rathmannsdorf (562),Salzlandkreis,Bernburg,1,Einzelgrab,1950,
132,Spoeren (629-636),Lkr. Anhalt-Bitterfeld,Bernburg,7,Grabgruppen,1998,zwei parallel verlaufende; N-S ausgerichte Reihen
133,Roßleben (962-963),Kyffhaeuser Kreis,Suedharz,1,Einzelgrab,1962,
134,Altranstaedt (1075-1077),Lkr. Leipzig,Saale,3,Grabgruppen,1993,
135,Esbeck (1157),Lkr. Helmstedt,Nordharz,1,Einzelgrab,1982,inmitten eines LBK Erdwerkes
136,Hedersleben (257),Lkr. Mansfeld-Suedharz,Mansfeld,1,Einzelgrab,1988,
137,Hohenerxleben (272),Salzlandkreis,Bernburg,1,Einzelgrab,1907,
