"","lat","lng"
"800",38.075731,-8.109626
"801",NA,NA
"802",37.123015,-7.857398
"804",37.052766,-8.956663
"805",38.307155,-8.030768
"806",37.068495,-8.914566
"807",38.066412,-8.005144
"808",38.068344,-8.008616
"809",38.172842,-8.133971
"810",37.926118,-8.125129
"811",38.261987,-7.507583
"812",38.038744,-8.091206
"813",38.034001,-7.958658
"814",38.040982,-7.963882
"815",38.050957,-7.574173
"816",37.975936,-8.079723
"817",NA,NA
"818",37.134948,-8.634911
"819",38.063662,-8.068824
"820",37.957716,-8.83491
"821",38.03589,-7.580962
"822",37.845479,-7.626601
"826",38.045601,-8.440021
"827",37.155058,-8.904763
"828",38.022099,-8.007669
"829",37.576453,-8.294924
"830",37.577897,-8.293252
"831",NA,NA
"832",38.168462,-8.149068
"833",38.451697,-7.401715
"837",38.645853,-7.948472
"838",38.052246,-7.548426
"839",38.028834,-7.567302
"840",38.804402,-7.47346
"842",NA,NA
"843",38.536917,-8.927912
"844",37.735055,-8.795603
"845",38.063416,-8.461951
"846",38.073744,-7.580564
"851",38.541465,-8.921425
"852",37.318321,-8.760337
"853",38.691787,-7.268883
"854",38.690471,-7.268772
"855",37.261093,-8.803826
"856",NA,NA
"857",NA,NA
"858",38.450065,-8.115465
"862",37.910834,-7.600523
"864",38.006095,-7.745258
"865",NA,NA
"866",NA,NA
"867",NA,NA
"868",37.750941,-8.437186
"869",NA,NA
"870",37.259121,-8.225477
"872",NA,NA
"873",38.097235,-8.079807
"874",38.422453,-7.433718
"875",37.13887,-8.534882
"876",38.161957,-7.429947
"878",38.455876,-9.102873
"879",38.612779,-8.34611
"881",38.114972,-7.655365
"882",38.096524,-8.063369
"883",37.123147,-8.343473
"884",38.134164,-7.557514
"885",38.63059,-7.919754
"886",NA,NA
"887",37.130742,-8.540466
"888",38.524935,-8.235729
"889",38.058674,-7.508883
"890",NA,NA
"891",NA,NA
"892",38.1474,-7.897859
"893",37.378838,-7.579849
"895",38.073121,-8.131884
"896",NA,NA
"897",NA,NA
"898",38.531994,-8.923271
"899",38.104008,-8.726288
"900",37.927761,-7.767905
"902",NA,NA
"904",NA,NA
"905",37.904551,-7.29862
"906",38.474088,-7.399587
"907",NA,NA
"909",37.971581,-7.291387
"910",37.305262,-7.607684
"911",37.333321,-7.487656
"912",37.309681,-7.449506
"914",NA,NA
"915",37.130851,-8.560723
"916",38.580445,-7.937427
"918",NA,NA
"919",38.30838,-8.234026
"920",38.634792,-7.399447
"921",38.099932,-7.656546
"922",38.650577,-7.552365
"923",38.260087,-7.990273
"924",38.243602,-7.990876
"925",38.241351,-7.992023
"926",38.541331,-8.132304
"927",37.388388,-7.86603
"929",NA,NA
"930",37.168472,-8.572194
"931",38.159624,-7.781598
"932",38.053577,-8.700484
"933",37.989903,-7.607511
"935",38.555942,-8.948932
"936",NA,NA
"937",NA,NA
"940",38.406201,-8.104816
"941",NA,NA
"942",38.396086,-8.181927
"943",NA,NA
"944",38.508974,-8.068892
"945",38.498699,-8.060189
"946",38.747756,-7.825394
"947",NA,NA
"948",NA,NA
"949",NA,NA
"950",38.096703,-8.078599
"951",NA,NA
