Katalognr / Literatur,Fundort,Kreis,Land,Schwertart,Typ,Variante,Fundumstände (Statistik),Amt / Kreis,Datie-rung,Steinkreis/-kranz,Stein-kiste,Stein-packung,Stein-setzung,Stein-rahmen,Megalith-grab,Baum-sarg,Holz-sarg,Körper-bestattung,Brand-bestattung,Doppel-bestattung,Fibel,Nadel,Gold-nadel,Wetz-stein,Feuer-schlag-stein,Schwefel-kies,Flint-dolch,Vollgriff-schwert,Vollgriff-dolch,Achtkant-schwert,Griff-platten-schwert,Griffplatten-dolch,Griffzungen-schwert,Griffzungen-dolch,Griffangel-schwert,Griffangel-dolch,Krumm-schwert,Klingen-fragment,Dolchklingen-fragment,Schwertklingen-fragment,Knauf,Ortband,Holz-scheide,Leder-scheide,Doppel-knopf,Lanzen-spitze,Flintpfeil-spitze,"""Sonnen-scheibe""",Blech-hülse,Gürtel-platte,Gürtel-haken,Gürtel-dose,Buckel,Tutulus,Anhänger,Glas-perle,Bern-stein-perle,Anderes Bernstein-objekt,Spiral-ring,Ring,Gold-spiral-ring,Gold-ring,Hals-kragen,Hals-ring,Armring,Spiral-arm-ring,Armberge,Armband,Goldarm-band,Goldarm-ring,Gold-spiral-armring,Finger-ring,Spiral-finger-ring,Gold-finger-ring,Goldspiral-fingerring,Fußring,Fußberge,Spiral-röllchen,Gold-spiral-röllchen,Rasier-messer,Pinzette,Pfriem,Messer,Vollgriff-messer,Rahmen-griff-messer,Sichel,Rand-leisten-beil,Absatz-beil,nordisches Absatzbeil,Tüllen-beil,Hohl-beil,Axt,Schaft-röhren-axt,Stein-axt,Tüllen-meißel,Hohl-meißel,Tüllen-hammer,Bronze-rohmaterial,Bronze-gefäß,Ton-gefäß,Sonstiges
B209,Gårdhøje,"Ksp. Måbjerg, Hjerm Herred, Ringkøbing Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),F,,Grabhügel,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B210,Kollund,"Ksp. Rind, Hammerum Herred, Ringkøbing Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),K1,,Grabhügel,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B211,Muldbjerg,"Ksp. Hover, Hind Herred, Ringkøbing Amt",Dänemark,Nordischer Vollgriffdolch (Per. II) (?),A,,"Grabhügel, Hauptbestattung",Ringkøbing Amt,Per. II,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B212,Muldbjerg,"Ksp. Hover, Hind Herred, Ringkøbing Amt",Dänemark,Nordischer Vollgriffdolch (Per. II) (?),?,,"Grabhügel, Nebenbestattung",Ringkøbing Amt,Per. II,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B213,Måbjerg (verm.),"Ksp. Måbjerg, Hjerm Herred, Ringkøbing Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),F,,unbekannt,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B214,Ksp. Måbjerg,"Ksp. Måbjerg, Hjerm Herred, Ringkøbing Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),"A, SF",,Grabhügel,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B215,Sandbæk,"Ksp. Flynder, Skodborg Herred, Ringkøbing Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),L6,,Grabhügel,Ringkøbing Amt,Per. II,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B216,Skovby,"Ksp. Nørre-Vium, Bølling Herred, Ringkøbing Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"K3, SF",,Grabhügel,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B217,Sønder-Lem Kirke,"Ksp. Sønder-Lem, Hind Herred, Ringkøbing Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),M1,,Grabhügel,Ringkøbing Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B218,Øster-Herup,"Ksp. Dybe, Vandfuld Herred, Ringkøbing Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),B1,,"Grabhügel, Hauptbestattung",Ringkøbing Amt,Per. II,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,2,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B219,Askjærgårde,"Ksp. Brande, Nørvang Herred, Vejle Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"I, SF",,"Grabhügel, Nebenbestattung",Vejle Amt,Per. II,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
B220,Bredal,"Ksp. Engum, Hatting Herred, Vejle Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),C,,Grabhügel,Vejle Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B221,Brændgårde,"Ksp. Lindeballe, Vejle Amt",Dänemark,Bronzeschwert,,,Grabhügel,Vejle Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B222,Dalby,"Ksp. Dalby, Nørre-Tyrstup Herred, Vejle Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),A2,,Grabhügel,Vejle Amt,Per. II,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B223,Egtved,"Ksp. Egtved, Jerlev Herred, Vejle Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),K2,,Grabhügel,Vejle Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B224,Hofmansfeld,"Ksp. Randbøl, Tørrild Herred, Vejle Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),A5,,Grabhügel,Vejle Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B225,Kongsted,"Ksp. Bredstrup, Elbo Herred, Vejle Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"L3, SF",,Grabhügel,Vejle Amt,Per. II,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
B226,Løsning,"Ksp. Løsning, Hatting Herred, Vejle Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),M3,,Grabhügel,Vejle Amt,Per. II,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
B227,Uhe,"Ksp. Ringgive, Nørvang Herred, Vejle Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),E2,,Einzelfund Land,Vejle Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B228,Adserbøl,"Ksp. Lindknud, Malt Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),L6,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B229,Bavngård,"Ksp. Kalvslund, Ribe Amt",Dänemark,Bronzeschwert,,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B230,Ksp. Billum,"Ksp. Billum, Vester-Horne Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),K3,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B231,Dollerup,"Ksp. Skanderup, Anst Herred, Ribe Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),D1,,"Grabhügel, Nebenbestattung",Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
B232,Drostrup,"Ksp. Læborg, Malt Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),SF,,Grabhügel,Ribe Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B233,Hafdrup,"Ksp. Vamdrup, Anst Herred, Ribe Amt",Dänemark,Griffplattenschwert mit Knauf,SF,,Grabhügel,Ribe Amt,Per. II,,,1,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
B234,Hejnsvig,"Ksp. Hejnsvig, Slavs Herred, Ribe Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),M2,,Flachgrab,Ribe Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B235,Hjortlund,"Ksp. Hjortlund, Ribe Amt",Dänemark,Bronzedolch,,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
B236,Klelund,"Ksp. Lindknud, Malt Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),M4,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B237,Kongsbjerggård,"Ksp. Anst, Anst Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),A2,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B238,Lunderskov,"Ksp. Skanderup, Anst Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),B2,,Grabhügel,Ribe Amt,Per. II,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B239,Oksvang,"Ksp. Nørre-Skast, Skast Herred, Ribe Amt",Dänemark,Griffangeldolch mit massivem Heft und Knauf (Per. II) (?),,,unbekannt,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B240,Terpling,"Ksp. Åstrup, Gørding Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),G1,,Grabhügel,Ribe Amt,Per. II,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B241,Tirslund,"Ksp. Brørup, Malt Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),L8,,Grabhügel,Ribe Amt,Per. II,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B242,Tjæreborg,"Ksp. Tjæreborg, Ribe Amt",Dänemark,Bronzeschwert,,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
B243,Tobøl,"Ksp. Føvling, Malt Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),D1,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B244,Tobøl,"Ksp. Føvling, Malt Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),"E1, SF",,"Grabhügel, Nebenbestattung",Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B245,Vester-Thorsted,"Ksp. Verst, Anst Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),A1,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B246,Vester-Vamdrup,"Ksp. Vamdrup, Anst Herred, Ribe Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),K3,,Grabhügel,Ribe Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B247,Arnitlund,"Ksp. Vedsted, Gram Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),K2,,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B248,Arnitlund,"Ksp. Vedsted, Gram Herred, Haderslev Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),L2,,"Grabhügel, Hauptbestattung",Haderslev Amt,Per. II,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B249,Billund,"Ksp. Vojens, Gram Herred, Haderslev Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),SF,,"Grabhügel, Nebenbestattung",Haderslev Amt,Per. II,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B250,Branderup,"Ksp. Branderup, Nørre-Rangstrup Herred, Haderslev Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),B1,,"Grabhügel, Hauptbestattung",Haderslev Amt,Per. II,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
B251,Bæk,"Ksp. Vonsbæk, Haderslev Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),"F, SF",,Grabhügel,Haderslev Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B252,Diernæs,"Ksp. Hoptrup, Haderslev Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),unbekannt,,Grabhügel,Haderslev Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B253,Fuglebæk,"Ksp. Lintrup, Frøs Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),B1,,Grabhügel,Haderslev Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
B254,Fæsted,"Ksp. Sønder-Hygum, Frøs Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),B1,,Grabhügel,Haderslev Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
B255,Hennekesdam,"Ksp. Jels, Gram Herred, Haderslev Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),"A(, SF)",,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B256,Jels,"Ksp. Jels, Gram Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),F,,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
B257,Jels,"Ksp. Jels, Gram Herred, Haderslev Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),B1,,Grabhügel,Haderslev Amt,Per. II,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B258,Knorborg,"Ksp. Sønder Hygum, Frøs Herred, Haderslev Amt",Dänemark,Rahmengriffschwert (?),,,unbekannt,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B259,Københoved,"Ksp. Skrave, Frøs Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),M2,,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
B260,Lille-Nustrup,"Ksp. Nustrup, Gram Herred, Haderslev Amt",Dänemark,Nordischer Vollgriffdolch (Per. II) (?),B1,,Grabhügel,Haderslev Amt,Per. II,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B261,Neder-Jerstal,"Ksp. Bevtoft, Nørre-Rangstrup Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"F, SF (F)",,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B262,Neder-Kestrup,"Ksp. Hoptrup, Haderslev Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),M3,,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B263,Nordslesvig,,Dänemark,Nordisches Vollgriffschwert (Per. II),?,,unbekannt,unbekannt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B264,Nordslesvig (verm.),,Dänemark,Nordisches Vollgriffschwert (Per. II) (?),B1,,unbekannt,unbekannt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B265,verm. Nordslesvig,,Dänemark,Nordisches Vollgriffschwert (Per. II),L7,,unbekannt,unbekannt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B266,Over-Jerstal,"Ksp. Vedsted, Gram Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),B2,,Grabhügel,Haderslev Amt,Per. II,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B267,Skibelund,"Ksp. Nustrup, Gram Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),K3,,Grabhügel,Haderslev Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B268,Skrydstrup,"Ksp. Skydstrup, Gram Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"K2, SF",,"Grabhügel, Nebenbestattung",Haderslev Amt,Per. II,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B269,Skrydstrup,"Ksp. Skrydstrup, Gram Herred, Haderslev Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),M3,,Grabhügel,Haderslev Amt,Per. II,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B270,Store-Anslet,"Ksp. Fjelstrup, Sønder-Tyrstrup Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),"G1, SF",,Grabhügel,Haderslev Amt,Per. II,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
B271,Toftlund,"Ksp. Toftlund, Nørre-Rangstrup Herred, Haderslev Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),M3,,Grabhügel,Haderslev Amt,Per. II,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B272,Gasse,"Ksp. Skærbæk, Hviding Herred, Tønder Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),E2,,Grabhügel,Tønder Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B273,Hjerpsted,"Ksp. Hjerpsted, Højer Herred, Tønder Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),D1,,Grabhügel,Tønder Amt,Per. II,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B274,Højrup,"Ksp. Højrup, Hviding Herred, Tønder Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),A3,,Grabhügel,Tønder Amt,Per. II,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B275,Lindet,"Ksp. Arrild, Hviding Herred, Tønder Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),B1,,Grabhügel,Tønder Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
B276,zwischen Hjerpsted und Emmerlev,"Ksp. Hjerpsted, Højer Herred, Tønder Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),E2,,unbekannt,Tønder Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B277,Øster-Gasse,"Ksp. Skærbæk, Hviding Herred, Tønder Amt",Dänemark,Nordischer Vollgriffdolch (Per. II),?,,Grabhügel,Tønder Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B278,Bjolderup,"Ksp. Bjolderup, Rise Herred, Åbenrå Amt",Dänemark,Nordisches Vollgriffschwert (Per. II) (?),G2,,Grabhügel,Åbenrå Amt,Per. II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B279,Blåhøj,"Ksp. Varnæs, Lundtoft Herred, Åbenrå Amt",Dänemark,Nordisches Vollgriffschwert (Per. II),B1,,Flachgrab,Åbenrå Amt,Per. II,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
