Katalognr / Literatur,Fundort,Kreis,Land,Schwertart,Typ,Variante,Fundumstände (Statistik),Amt / Kreis,Datie-rung,Steinkreis/-kranz,Stein-kiste,Stein-packung,Stein-setzung,Stein-rahmen,Megalith-grab,Baum-sarg,Holz-sarg,Körper-bestattung,Brand-bestattung,Doppel-bestattung,Fibel,Nadel,Gold-nadel,Wetz-stein,Feuer-schlag-stein,Schwefel-kies,Flint-dolch,Vollgriff-schwert,Vollgriff-dolch,Achtkant-schwert,Griff-platten-schwert,Griffplatten-dolch,Griffzungen-schwert,Griffzungen-dolch,Griffangel-schwert,Griffangel-dolch,Krumm-schwert,Klingen-fragment,Dolchklingen-fragment,Schwertklingen-fragment,Knauf,Ortband,Holz-scheide,Leder-scheide,Doppel-knopf,Lanzen-spitze,Flintpfeil-spitze,"""Sonnen-scheibe""",Blech-hülse,Gürtel-platte,Gürtel-haken,Gürtel-dose,Buckel,Tutulus,Anhänger,Glas-perle,Bern-stein-perle,Anderes Bernstein-objekt,Spiral-ring,Ring,Gold-spiral-ring,Gold-ring,Hals-kragen,Hals-ring,Armring,Spiral-arm-ring,Armberge,Armband,Goldarm-band,Goldarm-ring,Gold-spiral-armring,Finger-ring,Spiral-finger-ring,Gold-finger-ring,Goldspiral-fingerring,Fußring,Fußberge,Spiral-röllchen,Gold-spiral-röllchen,Rasier-messer,Pinzette,Pfriem,Messer,Vollgriff-messer,Rahmen-griff-messer,Sichel,Rand-leisten-beil,Absatz-beil,nordisches Absatzbeil,Tüllen-beil,Hohl-beil,Axt,Schaft-röhren-axt,Stein-axt,Tüllen-meißel,Hohl-meißel,Tüllen-hammer,Bronze-rohmaterial,Bronze-gefäß,Ton-gefäß,Sonstiges
A31,Dystrup,"Ksp. Ørum, Djurs Nørre Herred, Randers Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Hajdúsámson nahestehend,Hortfund Land,Randers Amt,Per. I,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A32,Dystrup,"Ksp. Ørum, Djurs Nørre Herred, Randers Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Hajdúsámson nahestehend,Hortfund Land,Randers Amt,Per. I,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A33,Dystrup,"Ksp. Ørum, Djurs Nørre Herred, Randers Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Hajdúsámson nahestehend,Hortfund Land,Randers Amt,Per. I,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A34,Dystrup,"Ksp. Ørum, Djurs Nørre Herred, Randers Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Hajdúsámson nahestehend,Hortfund Land,Randers Amt,Per. I,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A35,Dystrup,"Ksp. Ørum, Djurs Nørre Herred, Randers Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Hajdúsámson nahestehend,Hortfund Land,Randers Amt,Per. I,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A36,Dystrup,"Ksp. Ørum, Djurs Nørre Herred, Randers Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Hajdúsámson nahestehend,Hortfund Land,Randers Amt,Per. I,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A37,Dystrup,"Ksp. Ørum, Djurs Nørre Herred, Randers Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Oradea nahestehend,Hortfund Land,Randers Amt,Per. I,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A38,Dystrup,"Ksp. Ørum, Djurs Nørre Herred, Randers Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Oradea nahestehend,Hortfund Land,Randers Amt,Per. I,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A39,Gegend von Grenå,"Ksp. Grenå, Randers Nørre-Herred, Randers Amt",Dänemark,Sonstiger Vollgriffdolch,Hajdúsámson-Apa nahestehend,,Einzelfund Land,Randers Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40,Grundfør,"Ksp. Grundfør, Vester Lisbjerg Herred, Aarhus Amt",Dänemark,Sonstiger Vollgriffdolch,,,Grabhügel,Aarhus Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
A41,Grønlund,"Ksp. Østbirk, Voer Herred, Skanderborg Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle,Variante A2,Grabhügel,Skanderborg Amt,Per. I,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A42,Umgebung von Silkeborg,"Ksp. Adslev, Hjelmslev Herred, Skanderborg Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Hajdúsámson nahestehend,unbekannt,Skanderborg Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
